gross_domestic_product,Gross Domestic Product (GDP) [10^9 €]
population,Population [Thousand People]
international_coal,International coal prices [€ per tonne or GJ (Gigajoule), Other please specify]
international_oil,International oil prices [€ per barrel or GJ]
international_gas,International gas prices [€ per m3 or GJ]
oil_pj,Oil (fossil) [Petajoule (PJ)]
gas_pj,Gas (fossil) [Petajoule (PJ)]
coal_pj,Coal [Petajoule (PJ)]
biomass,Biomass without liquid biofuels (e.g. wood) [Petajoule (PJ)]
liquid_biofuels,Liquid biofuels (e.g. bio-oils) [Petajoule (PJ)]
solar,Solar [Petajoule (PJ)]
other_pj,Other renewable (wind, geothermal etc.) [Petajoule (PJ)]
oil_gwh,Oil (fossil) [GWh]
gas_gwh,Gas (fossil) [GWh]
coal_gwh,Coal [GWh]
renewable_gwh,Renewable [GWh]
iron_steel_share,Iron &amp; steel [% share]
other_metals_share,Other metals [% share]
cement_share,Cement [% share]
coke_production_share,Coke production [% share]
pulp_and_paper,Pulp and paper [% share]
petroleum_refining,Petroleum refining [% share]
other_share,Other [% share]
iron_steel_gva,Iron &amp; steel [GVA or index units]
other_metals_gva,Other metals [GVA or index units]
cement_gva,Cement [GVA or index units]
coke_production_gva,Coke production [GVA or index units]
